Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-01-02 00:00:00-05:00,18.675702353442052,19.12502411412297,18.424186058618293,19.12306022644043,10438500,0.0,0.0,0.0
2020-01-03 00:00:00-05:00,18.17594903009673,18.554531556928,17.954563750367395,18.090145111083984,14713500,0.0,0.0,0.0
2020-01-06 00:00:00-05:00,17.423365375575848,17.681433005610863,17.12403548356499,17.516374588012695,11313000,0.0,0.0,0.0
2020-01-07 00:00:00-05:00,18.08162909476929,18.67308544298928,17.805878983431768,18.41960334777832,10441500,0.0,0.0,0.0
2020-01-08 00:00:00-05:00,18.496891275171617,18.788359943847517,18.1621908419986,18.4602108001709,10024500,0.0,0.0,0.0
2020-01-09 00:00:00-05:00,19.125027438211262,19.14140379073101,18.222452236732032,18.779193878173828,11472000,0.0,0.0,0.0
2020-01-10 00:00:00-05:00,19.03660232902995,19.042497740537982,18.258475471767174,18.395368576049805,11304000,0.0,0.0,0.0
2020-01-13 00:00:00-05:00,18.791638745085546,19.15974219640392,18.588591837179546,19.116512298583984,8160000,0.0,0.0,0.0
2020-01-14 00:00:00-05:00,19.129611134127966,19.667356604873735,18.885955992844245,19.239648818969727,9610500,0.0,0.0,0.0
2020-01-15 00:00:00-05:00,19.230482329472892,19.279605767387995,18.339697912493595,18.546018600463867,11518500,0.0,0.0,0.0
2020-01-16 00:00:00-05:00,19.00450524977209,19.47675276943659,18.961931238632534,19.47544288635254,10807500,0.0,0.0,0.0
2020-01-17 00:00:00-05:00,19.72565053242032,19.881537872834688,19.40143102454299,19.85337257385254,11839500,0.0,0.0,0.0
2020-01-21 00:00:00-05:00,19.60644207992389,20.04266503758679,19.58417219183508,19.816694259643555,6961500,0.0,0.0,0.0
2020-01-22 00:00:00-05:00,20.272568075589618,20.91838548393595,20.10750967067377,20.289596557617188,10747500,0.0,0.0,0.0
2020-01-23 00:00:00-05:00,20.524739450497165,20.76315507653112,19.89398473008681,20.752676010131836,9354000,0.0,0.0,0.0
2020-01-24 00:00:00-05:00,21.566169390190066,21.68013859513246,19.607751640997385,20.051179885864258,19885500,0.0,0.0,0.0
2020-01-27 00:00:00-05:00,18.26043879737146,18.467415311735497,17.623132905170905,17.725311279296875,19500000,0.0,0.0,0.0
2020-01-28 00:00:00-05:00,18.40519157421414,19.15515492098188,18.012196666002282,18.99402618408203,14221500,0.0,0.0,0.0
2020-01-29 00:00:00-05:00,18.782464533698917,18.906258794408465,17.883821005221556,17.946699142456055,12270000,0.0,0.0,0.0
2020-01-30 00:00:00-05:00,17.587113783354287,18.05084621099191,16.84304571102772,17.879894256591797,17106000,0.0,0.0,0.0
2020-01-31 00:00:00-05:00,17.44694510741348,17.4692149979688,15.75314415520761,15.956191062927246,22954500,0.0,0.0,0.0
2020-02-03 00:00:00-05:00,16.179542678645543,16.643929129825118,16.115352771341627,16.565330505371094,13681500,0.0,0.0,0.0
